序號,原始檔名,新檔名,Image_ID,RPS_2010_TIS,Pathological_Findings,Confidence_1-5
134,20260107_hfd10w-5_he_5.jpg,134.jpg,134.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
135,20260107_hfd10w-5_he_6.jpg,135.jpg,135.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
136,20260107_hfd10w-6_he_1.jpg,136.jpg,136.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
137,20260107_hfd10w-6_he_2.jpg,137.jpg,137.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
138,20260107_hfd10w-6_he_3.jpg,138.jpg,138.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
139,20260107_hfd10w-6_he_4.jpg,139.jpg,139.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
140,20260107_hfd10w-6_he_5.jpg,140.jpg,140.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
141,20260107_hfd10w-6_he_6.jpg,141.jpg,141.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
142,20260107_hs10w-1_he_1.jpg,142.jpg,142.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
143,20260107_hs10w-1_he_2.jpg,143.jpg,143.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
144,20260107_hs10w-1_he_3.jpg,144.jpg,144.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
145,20260107_hs10w-1_he_4.jpg,145.jpg,145.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
146,20260107_hs10w-1_he_5.jpg,146.jpg,146.jpg,0,"Normal renal morphology, intact brush border.",5
147,20260107_hs10w-1_he_6.jpg,147.jpg,147.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
148,20260107_hs10w-2_he_1.jpg,148.jpg,148.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
149,20260107_hs10w-2_he_2.jpg,149.jpg,149.jpg,0,"Normal renal morphology, intact brush border.",4
150,20260107_hs10w-2_he_3.jpg,150.jpg,150.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
151,20260107_hs10w-2_he_4.jpg,151.jpg,151.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
152,20260107_hs10w-2_he_5.jpg,152.jpg,152.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
153,20260107_hs10w-2_he_6.jpg,153.jpg,153.jpg,0,"Normal renal morphology, intact brush border.",4
154,20260107_hs10w-3_he_1.jpg,154.jpg,154.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
155,20260107_hs10w-3_he_2.jpg,155.jpg,155.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
156,20260107_hs10w-3_he_3.jpg,156.jpg,156.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
157,20260107_hs10w-3_he_4.jpg,157.jpg,157.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
158,20260107_hs10w-3_he_5.jpg,158.jpg,158.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
159,20260107_hs10w-3_he_6.jpg,159.jpg,159.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
160,20260107_hs10w-4_he_1.jpg,160.jpg,160.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
161,20260107_hs10w-4_he_2.jpg,161.jpg,161.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
162,20260107_hs10w-4_he_3.jpg,162.jpg,162.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
163,20260107_hs10w-4_he_4.jpg,163.jpg,163.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
164,20260107_hs10w-4_he_5.jpg,164.jpg,164.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
165,20260107_hs10w-4_he_6.jpg,165.jpg,165.jpg,0,"Normal renal morphology, intact brush border.",4
166,20260107_hs10w-5_he_1.jpg,166.jpg,166.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
167,20260107_hs10w-5_he_2.jpg,167.jpg,167.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
168,20260107_hs10w-5_he_3.jpg,168.jpg,168.jpg,0,"Normal renal morphology, intact brush border.",5
169,20260107_hs10w-5_he_4.jpg,169.jpg,169.jpg,0,"Normal renal morphology, intact brush border.",5
170,20260107_hs10w-5_he_5.jpg,170.jpg,170.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
171,20260107_hs10w-5_he_6.jpg,171.jpg,171.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
172,20260107_hs10w-6_he_1.jpg,172.jpg,172.jpg,0,"Normal renal morphology, intact brush border.",5
173,20260107_hs10w-6_he_2.jpg,173.jpg,173.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
174,20260107_hs10w-6_he_3.jpg,174.jpg,174.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
175,20260107_hs10w-6_he_4.jpg,175.jpg,175.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
176,20260107_hs10w-6_he_5.jpg,176.jpg,176.jpg,0,"Normal renal morphology, intact brush border.",5
177,20260107_hs10w-6_he_6.jpg,177.jpg,177.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
178,20260107_sham-4(10w)_he_1.jpg,178.jpg,178.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
179,20260107_sham-4(10w)_he_2.jpg,179.jpg,179.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
180,20260107_sham-4(10w)_he_3.jpg,180.jpg,180.jpg,0,"Normal renal morphology, intact brush border.",5
181,20260107_sham-4(10w)_he_4.jpg,181.jpg,181.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
182,20260107_sham-4(10w)_he_5.jpg,182.jpg,182.jpg,0,"Normal renal morphology, intact brush border.",4
183,20260107_sham-4(10w)_he_6.jpg,183.jpg,183.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
184,20260107_sham-5(10w)_he_1.jpg,184.jpg,184.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
185,20260107_sham-5(10w)_he_2.jpg,185.jpg,185.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
186,20260107_sham-5(10w)_he_3.jpg,186.jpg,186.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
187,20260107_sham-5(10w)_he_4.jpg,187.jpg,187.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
188,20260107_sham-5(10w)_he_5.jpg,188.jpg,188.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
189,20260107_sham-5(10w)_he_6.jpg,189.jpg,189.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
190,20260107_sham-6(10w)_he_1.jpg,190.jpg,190.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
191,20260107_sham-6(10w)_he_2.jpg,191.jpg,191.jpg,0,"Normal renal morphology, intact brush border.",4
192,20260107_sham-6(10w)_he_3.jpg,192.jpg,192.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
193,20260107_sham-6(10w)_he_4.jpg,193.jpg,193.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
194,20260107_sham-6(10w)_he_5.jpg,194.jpg,194.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
195,20260107_sham-6(10w)_he_6.jpg,195.jpg,195.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
196,20260121_hs10wgae9-1_he_1.jpg,196.jpg,196.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
197,20260121_hs10wgae9-1_he_2.jpg,197.jpg,197.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
198,20260121_hs10wgae9-1_he_3.jpg,198.jpg,198.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
199,20260121_hs10wgae9-1_he_4.jpg,199.jpg,199.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
200,20260121_hs10wgae9-1_he_5.jpg,200.jpg,200.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
201,20260121_hs10wgae9-1_he_6.jpg,201.jpg,201.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
202,20260121_hs10wgae9-2_he_1.jpg,202.jpg,202.jpg,0,"Normal renal morphology, intact brush border.",5
203,20260121_hs10wgae9-2_he_2.jpg,203.jpg,203.jpg,0,"Normal renal morphology, intact brush border.",5
204,20260121_hs10wgae9-2_he_3.jpg,204.jpg,204.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
205,20260121_hs10wgae9-2_he_4.jpg,205.jpg,205.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
206,20260121_hs10wgae9-2_he_5.jpg,206.jpg,206.jpg,0,"Normal renal morphology, intact brush border.",5
207,20260121_hs10wgae9-2_he_6.jpg,207.jpg,207.jpg,0,"Normal renal morphology, intact brush border.",4
208,20260121_hs10wgae9-3_he_1.jpg,208.jpg,208.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
209,20260121_hs10wgae9-3_he_2.jpg,209.jpg,209.jpg,0,"Normal renal morphology, intact brush border.",4
210,20260121_hs10wgae9-3_he_3.jpg,210.jpg,210.jpg,0,"Normal renal morphology, intact brush border.",5
211,20260121_hs10wgae9-3_he_4.jpg,211.jpg,211.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
212,20260121_hs10wgae9-3_he_5.jpg,212.jpg,212.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
213,20260121_hs10wgae9-3_he_6.jpg,213.jpg,213.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
214,20260121_hs10wgae9-4_he_1.jpg,214.jpg,214.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
215,20260121_hs10wgae9-4_he_2.jpg,215.jpg,215.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
216,20260121_hs10wgae9-4_he_3.jpg,216.jpg,216.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
217,20260121_hs10wgae9-4_he_4.jpg,217.jpg,217.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
218,20260121_hs10wgae9-4_he_5.jpg,218.jpg,218.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
219,20260121_hs10wgae9-4_he_6.jpg,219.jpg,219.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
220,20260121_hs10wgae9-5_he_1.jpg,220.jpg,220.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
221,20260121_hs10wgae9-5_he_2.jpg,221.jpg,221.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
222,20260121_hs10wgae9-5_he_3.jpg,222.jpg,222.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
223,20260121_hs10wgae9-5_he_4.jpg,223.jpg,223.jpg,0,"Normal renal morphology, intact brush border.",4
224,20260121_hs10wgae9-5_he_5.jpg,224.jpg,224.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
225,20260121_hs10wgae9-5_he_6.jpg,225.jpg,225.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
226,20260121_hs10wgae10-1_he_1.jpg,226.jpg,226.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
227,20260121_hs10wgae10-1_he_2.jpg,227.jpg,227.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
228,20260121_hs10wgae10-1_he_3.jpg,228.jpg,228.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
229,20260121_hs10wgae10-1_he_4.jpg,229.jpg,229.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
230,20260121_hs10wgae10-1_he_5.jpg,230.jpg,230.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
231,20260121_hs10wgae10-1_he_6.jpg,231.jpg,231.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
