Image_ID,RPS_2010_TIS,Pathological_Findings,Confidence_1-5
178.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
179.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
180.jpg,0,"Normal renal morphology, intact brush border.",5
181.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
182.jpg,0,"Normal renal morphology, intact brush border.",4
183.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
184.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
185.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
186.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
187.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
188.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
189.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
190.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
191.jpg,0,"Normal renal morphology, intact brush border.",4
192.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
193.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
194.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
195.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
196.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
197.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
198.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
199.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
200.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
201.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
202.jpg,0,"Normal renal morphology, intact brush border.",5
203.jpg,0,"Normal renal morphology, intact brush border.",5
204.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
205.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
206.jpg,0,"Normal renal morphology, intact brush border.",5
207.jpg,0,"Normal renal morphology, intact brush border.",4
208.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
209.jpg,0,"Normal renal morphology, intact brush border.",4
210.jpg,0,"Normal renal morphology, intact brush border.",5
211.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
212.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
213.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
214.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
215.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
216.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
217.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
218.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
219.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
220.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
221.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
222.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
223.jpg,0,"Normal renal morphology, intact brush border.",4
224.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
225.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
226.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
227.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
228.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
229.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
230.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
231.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
232.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
233.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
234.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
235.jpg,0,"Normal renal morphology, intact brush border.",5
236.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
237.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
238.jpg,0,"Normal renal morphology, intact brush border.",5
239.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
240.jpg,0,"Normal renal morphology, intact brush border.",4
241.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
242.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
243.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
244.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
245.jpg,0,"Normal renal morphology, intact brush border.",5
246.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
247.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
248.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
249.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
250.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
251.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
252.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
253.jpg,3,Significant tubular basement membrane thickening and protein casts.,4
254.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
255.jpg,0,"Normal renal morphology, intact brush border.",4
256.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
257.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,4
258.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
259.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
260.jpg,0,"Normal renal morphology, intact brush border.",4
261.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
262.jpg,4,Severe global tubular necrosis and extensive interstitial fibrosis.,5
263.jpg,0,"Normal renal morphology, intact brush border.",4
264.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
265.jpg,3,Significant tubular basement membrane thickening and protein casts.,5
266.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
267.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,5
268.jpg,2,Moderate tubular atrophy with interstitial inflammatory cell infiltration.,4
269.jpg,1,"Mild tubular dilation, focal loss of brush border.",5
270.jpg,1,"Mild tubular dilation, focal loss of brush border.",4
