Image_ID,Mesangial_Expansion_Index(0-4),Tubular_Cast_Density(Count),Brush_Border_Integrity(%),Refined_Severity_Score
137.jpg,2.5,4,90.4,1.09
138.jpg,3.4,1,66.2,1.62
139.jpg,1.9,0,66.3,1.08
140.jpg,0.7,2,67.0,0.74
141.jpg,2.9,1,77.6,1.3
142.jpg,2.4,2,66.5,1.31
143.jpg,2.6,2,81.2,1.18
144.jpg,3.4,0,65.4,1.59
145.jpg,2.5,5,87.6,1.17
146.jpg,2.5,3,62.5,1.43
147.jpg,1.5,3,50.3,1.26
148.jpg,2.9,3,32.0,1.97
149.jpg,1.4,5,60.9,1.15
150.jpg,0.5,1,72.0,0.57
151.jpg,3.4,2,58.2,1.76
152.jpg,1.3,2,58.6,1.05
153.jpg,3.1,0,86.7,1.21
154.jpg,2.0,3,36.9,1.61
155.jpg,3.3,3,94.4,1.27
156.jpg,2.3,4,64.0,1.38
157.jpg,3.3,2,77.0,1.47
158.jpg,1.7,2,40.2,1.43
159.jpg,3.4,3,90.6,1.36
160.jpg,3.0,2,73.8,1.42
161.jpg,3.3,2,52.7,1.8
162.jpg,3.3,3,56.6,1.78
163.jpg,2.5,2,100.0,0.9
164.jpg,1.6,1,81.5,0.81
165.jpg,1.5,4,100.0,0.63
166.jpg,1.0,6,75.9,0.85
167.jpg,0.9,3,76.2,0.72
168.jpg,0.5,3,53.4,0.89
169.jpg,0.8,2,63.0,0.83
170.jpg,2.0,4,51.8,1.44
171.jpg,3.4,1,47.1,1.87
172.jpg,1.8,3,71.7,1.08
173.jpg,1.7,3,62.0,1.17
174.jpg,2.2,3,85.6,1.03
175.jpg,1.8,2,50.2,1.33
176.jpg,2.3,2,83.7,1.05
177.jpg,1.9,1,72.1,1.04
178.jpg,1.0,4,95.6,0.53
179.jpg,1.2,0,68.7,0.82
180.jpg,2.7,4,80.5,1.29
181.jpg,0.6,3,74.4,0.64
182.jpg,2.4,0,62.1,1.31
183.jpg,1.6,1,71.7,0.94
184.jpg,2.4,2,60.6,1.39
185.jpg,1.6,2,65.6,1.06
186.jpg,2.0,0,93.3,0.76
187.jpg,2.5,5,86.2,1.18
188.jpg,2.8,0,92.3,1.04
189.jpg,1.3,4,82.7,0.8
190.jpg,2.8,3,62.1,1.54
191.jpg,1.7,0,78.8,0.85
192.jpg,0.7,8,65.9,0.95
193.jpg,1.1,5,45.7,1.26
194.jpg,1.9,1,65.2,1.13
195.jpg,2.7,3,56.3,1.58
196.jpg,2.1,5,71.4,1.25
197.jpg,1.1,1,70.1,0.8
198.jpg,1.5,5,71.9,1.04
199.jpg,2.0,4,79.6,1.07
200.jpg,2.4,0,75.2,1.13
201.jpg,1.3,5,83.1,0.83
202.jpg,1.4,2,82.7,0.76
203.jpg,2.6,4,42.3,1.77
204.jpg,2.7,5,68.0,1.49
205.jpg,0.6,3,71.7,0.68
206.jpg,2.0,1,80.2,0.96
207.jpg,1.1,1,66.4,0.85
208.jpg,1.8,0,58.0,1.16
209.jpg,0.8,7,70.1,0.9
210.jpg,1.8,3,52.2,1.34
211.jpg,2.5,5,70.8,1.39
212.jpg,1.2,4,89.3,0.68
213.jpg,2.7,2,42.5,1.73
214.jpg,1.5,1,67.0,0.97
215.jpg,2.0,5,89.3,0.98
216.jpg,1.7,1,54.1,1.21
217.jpg,1.9,2,46.7,1.41
218.jpg,3.3,2,82.3,1.4
219.jpg,2.2,2,65.0,1.27
220.jpg,0.8,2,64.3,0.81
221.jpg,3.0,2,85.3,1.26
222.jpg,0.8,2,43.6,1.09
223.jpg,3.3,3,68.4,1.62
224.jpg,0.6,4,83.6,0.55
225.jpg,1.0,2,69.0,0.81
226.jpg,3.2,2,57.7,1.7
227.jpg,1.0,3,67.2,0.87
228.jpg,2.9,1,80.5,1.26
229.jpg,1.9,1,40.0,1.47
230.jpg,2.1,4,63.7,1.32
231.jpg,2.1,3,44.9,1.53
232.jpg,1.6,0,62.8,1.03
233.jpg,0.8,2,71.0,0.72
234.jpg,1.0,4,61.5,0.98
235.jpg,2.7,3,76.9,1.31
236.jpg,2.6,2,59.1,1.48
237.jpg,2.7,2,55.4,1.56
238.jpg,3.1,4,89.6,1.31
239.jpg,2.8,4,69.9,1.47
240.jpg,3.2,2,23.0,2.16
241.jpg,1.0,1,95.9,0.42
242.jpg,3.4,3,45.0,1.97
243.jpg,2.2,2,65.2,1.26
244.jpg,3.2,3,71.1,1.55
245.jpg,0.7,4,79.1,0.65
246.jpg,2.9,5,45.6,1.86
247.jpg,2.3,1,38.4,1.62
248.jpg,1.6,6,59.6,1.27
249.jpg,1.2,2,74.0,0.81
250.jpg,0.6,1,83.8,0.45
251.jpg,3.3,5,100.0,1.27
252.jpg,1.2,4,70.3,0.93
253.jpg,3.3,2,96.6,1.21
254.jpg,3.1,2,47.3,1.8
255.jpg,2.5,1,63.0,1.36
256.jpg,3.2,4,88.8,1.35
257.jpg,0.9,4,68.8,0.85
258.jpg,0.7,3,63.3,0.82
259.jpg,0.6,3,58.9,0.85
260.jpg,1.3,2,91.2,0.62
261.jpg,0.6,2,73.4,0.62
262.jpg,3.1,4,51.6,1.81
263.jpg,2.1,2,54.8,1.37
264.jpg,0.7,7,61.4,0.98
265.jpg,1.5,3,87.0,0.77
266.jpg,3.0,4,51.9,1.77
267.jpg,3.4,4,83.9,1.48
268.jpg,3.0,5,41.6,1.95
269.jpg,3.3,0,61.7,1.61
270.jpg,2.6,2,53.6,1.55
