Accession,Description,Mean,SD,SEM
Asa5G05302.1,[translated] | NR=PREDICTED: protein FAM9A-like [Phoenix dactylifera]; Swissprot=Heat shock 70 kDa protein OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) GN=hsps-1 PE=2 SV=2; IPRSCAN=NULL NULL NULL NULL,85.52406625622837,3.428148176461246,1.979242272501825
Asa0G04635.1,[translated] | GO=Molecular Function: calcium ion binding (GO:0005509); NR=PREDICTED: probable serine/threonine protein phosphatase 2A regulatory subunit B''delta-like [Oryza brachyantha]; Swissprot=Serine/threonine protein phosphatase 2A regulatory subunit B''beta OS=Arabidopsis thaliana GN=B''BETA PE=1 SV=1; KEGG=probable serine/threonine protein phosphatase 2A regulatory subunit B''delta-like; K11583 serine/threonine-protein phosphatase 2A regulatory subunit B'' (A); IPRSCAN=NULL NULL IPR002048 EF-hand domain,82.81867732643094,3.5285673765163406,2.037219324685441
Asa0G00743.1,[translated] | NR=PREDICTED: E3 ubiquitin-protein ligase ORTHRUS 2-like [Jatropha curcas]; Swissprot=E3 ubiquitin-protein ligase ORTHRUS 2 OS=Arabidopsis thaliana GN=ORTH2 PE=1 SV=1; KEGG=E3 ubiquitin-protein ligase ORTHRUS 2-like; K10638 E3 ubiquitin-protein ligase UHRF1 [EC:2.3.2.27] (A),80.5404695740808,69.75130883695451,40.27093693334441
Asa8G01973.1,[translated],68.80483699526769,5.283988925926243,3.0507124287785183
Asa7G06018.1,[translated] | NR=PREDICTED: uncharacterized protein LOC103709675 [Phoenix dactylifera],68.08727479161432,2.0490224484269,1.1830036621748568
Asa6G04009.1,"[translated] | GO=Molecular Function: magnesium ion binding (GO:0000287),Molecular Function: pyruvate kinase activity (GO:0004743),Biological Process: glycolysis (GO:0006096),Molecular Function: potassium ion binding (GO:0030955); NR=PREDICTED: pyruvate kinase, cytosolic isozyme [Phoenix dactylifera]; Swissprot=Pyruvate kinase, cytosolic isozyme OS=Solanum tuberosum PE=2 SV=1; KEGG=pyruvate kinase, cytosolic isozyme; K00873 pyruvate kinase [EC:2.7.1.40] (A); IPRSCAN=NULL NULL IPR001697 Pyruvate kinase IPR015793 Pyruvate kinase, barrel",67.45189517257118,3.0177340127550454,1.7422895446068152
Asa6G01722.1,[translated] | NR=Arrestin domain-containing protein A [Morus notabilis],67.17369801097031,3.970560633220952,2.2924042504238478
Asa1G05058.1,[translated],62.15871764145294,3.640606532612472,2.1019051616173208
Asa5G05144.1,"[translated] | GO=Molecular Function: manganese ion binding (GO:0030145),Molecular Function: nutrient reservoir activity (GO:0045735); NR=PREDICTED: putative germin-like protein 2-1 [Phoenix dactylifera]; Swissprot=Putative germin-like protein 2-1 OS=Oryza sativa subsp. japonica GN=Os02g0491600 PE=3 SV=1; KEGG=uncharacterized LOC101250545; K11426 SET and MYND domain-containing protein (A); IPRSCAN=IPR001929 Germin IPR001929 Germin IPR001929 Germin NULL NULL NULL NULL IPR006045 Cupin 1 IPR006045 Cupin 1",60.15272549364599,3.5090411970333064,2.025945879704666
Asa5G04112.1,[translated] | NR=thaumatin-like cytokinin-binding protein [Brassica oleracea]; Swissprot=Osmotin-like protein OS=Solanum lycopersicum PE=1 SV=1; IPRSCAN=IPR001938 Thaumatin,57.806155831541126,3.6406594054753962,2.1019356877789632
