Accession,Description,Mean,SD,SEM
Asa5G05302.1,[translated] | NR=PREDICTED: protein FAM9A-like [Phoenix dactylifera]; Swissprot=Heat shock 70 kDa protein OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) GN=hsps-1 PE=2 SV=2; IPRSCAN=NULL NULL NULL NULL,85.52406625622837,3.428148176461246,1.979242272501825
Asa0G04635.1,[translated] | GO=Molecular Function: calcium ion binding (GO:0005509); NR=PREDICTED: probable serine/threonine protein phosphatase 2A regulatory subunit B''delta-like [Oryza brachyantha]; Swissprot=Serine/threonine protein phosphatase 2A regulatory subunit B''beta OS=Arabidopsis thaliana GN=B''BETA PE=1 SV=1; KEGG=probable serine/threonine protein phosphatase 2A regulatory subunit B''delta-like; K11583 serine/threonine-protein phosphatase 2A regulatory subunit B'' (A); IPRSCAN=NULL NULL IPR002048 EF-hand domain,82.81867732643094,3.5285673765163406,2.037219324685441
Asa0G00743.1,[translated] | NR=PREDICTED: E3 ubiquitin-protein ligase ORTHRUS 2-like [Jatropha curcas]; Swissprot=E3 ubiquitin-protein ligase ORTHRUS 2 OS=Arabidopsis thaliana GN=ORTH2 PE=1 SV=1; KEGG=E3 ubiquitin-protein ligase ORTHRUS 2-like; K10638 E3 ubiquitin-protein ligase UHRF1 [EC:2.3.2.27] (A),80.5404695740808,69.75130883695451,40.27093693334441
Asa8G01973.1,[translated],68.80483699526769,5.283988925926243,3.0507124287785183
Asa7G06018.1,[translated] | NR=PREDICTED: uncharacterized protein LOC103709675 [Phoenix dactylifera],68.08727479161432,2.0490224484269,1.1830036621748568
Asa6G04009.1,"[translated] | GO=Molecular Function: magnesium ion binding (GO:0000287),Molecular Function: pyruvate kinase activity (GO:0004743),Biological Process: glycolysis (GO:0006096),Molecular Function: potassium ion binding (GO:0030955); NR=PREDICTED: pyruvate kinase, cytosolic isozyme [Phoenix dactylifera]; Swissprot=Pyruvate kinase, cytosolic isozyme OS=Solanum tuberosum PE=2 SV=1; KEGG=pyruvate kinase, cytosolic isozyme; K00873 pyruvate kinase [EC:2.7.1.40] (A); IPRSCAN=NULL NULL IPR001697 Pyruvate kinase IPR015793 Pyruvate kinase, barrel",67.45189517257118,3.0177340127550454,1.7422895446068152
Asa6G01722.1,[translated] | NR=Arrestin domain-containing protein A [Morus notabilis],67.17369801097031,3.970560633220952,2.2924042504238478
Asa1G05058.1,[translated],62.15871764145294,3.640606532612472,2.1019051616173208
Asa5G05144.1,"[translated] | GO=Molecular Function: manganese ion binding (GO:0030145),Molecular Function: nutrient reservoir activity (GO:0045735); NR=PREDICTED: putative germin-like protein 2-1 [Phoenix dactylifera]; Swissprot=Putative germin-like protein 2-1 OS=Oryza sativa subsp. japonica GN=Os02g0491600 PE=3 SV=1; KEGG=uncharacterized LOC101250545; K11426 SET and MYND domain-containing protein (A); IPRSCAN=IPR001929 Germin IPR001929 Germin IPR001929 Germin NULL NULL NULL NULL IPR006045 Cupin 1 IPR006045 Cupin 1",60.15272549364599,3.5090411970333064,2.025945879704666
Asa5G04112.1,[translated] | NR=thaumatin-like cytokinin-binding protein [Brassica oleracea]; Swissprot=Osmotin-like protein OS=Solanum lycopersicum PE=1 SV=1; IPRSCAN=IPR001938 Thaumatin,57.806155831541126,3.6406594054753962,2.1019356877789632
Asa6G01748.1,"[translated] | GO=Cellular Component: mitochondrial inner membrane presequence translocase complex (GO:0005744),Biological Process: intracellular protein transport (GO:0006886),Molecular Function: P-P-bond-hydrolysis-driven protein transmembrane transporter activity (GO:0015450); NR=PREDICTED: mitochondrial import inner membrane translocase subunit TIM17-2-like [Musa acuminata subsp. malaccensis]; Swissprot=Mitochondrial import inner membrane translocase subunit TIM17-2 OS=Arabidopsis thaliana GN=TIM17-2 PE=1 SV=2; KEGG=mitochondrial import inner membrane translocase subunit TIM17-2-like; K17795 mitochondrial import inner membrane translocase subunit TIM17 (A); IPRSCAN=IPR005678 Mitochondrial inner membrane translocase complex, subunit Tim17 NULL NULL IPR003397 Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal protein PMP24",57.458341608594,4.836963388400098,2.792622114353161
Asa6G05029.1,[translated],57.243590562613115,7.594476313731248,4.384672944086973
Asa6G02535.1,"[translated] | GO=Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553),Molecular Function: beta-N-acetylhexosaminidase activity (GO:0004563),Biological Process: carbohydrate metabolic process (GO:0005975); NR=PREDICTED: beta-hexosaminidase 2 [Elaeis guineensis]; Swissprot=Beta-hexosaminidase 2 OS=Arabidopsis thaliana GN=HEXO2 PE=1 SV=1; KEGG=beta-hexosaminidase 2; K12373 hexosaminidase [EC:3.2.1.52] (A); IPRSCAN=NULL NULL IPR025705 Beta-hexosaminidase subunit alpha/beta IPR025705 Beta-hexosaminidase subunit alpha/beta IPR025705 Beta-hexosaminidase subunit alpha/beta IPR025705 Beta-hexosaminidase subunit alpha/beta IPR025705 Beta-hexosaminidase subunit alpha/beta IPR025705 Beta-hexosaminidase subunit alpha/beta IPR025705 Beta-hexosaminidase subunit alpha/beta IPR025705 Beta-hexosaminidase subunit alpha/beta IPR015883 Glycoside hydrolase family 20, catalytic core NULL NULL",52.971650858793,2.982105971660939,1.7217196854904337
Asa1G00476.1,[translated] | NR=PREDICTED: uncharacterized protein LOC103961107 [Pyrus x bretschneideri]; IPRSCAN=IPR007650 Protein of unknown function DUF581,52.54001724098532,5.587058669101679,3.2256898265840865
Asa3G05676.1,[translated],49.90694794570741,6.563940771455175,3.7896929713444054
Asa1G03711.1,[translated] | GO=Molecular Function: protein binding (GO:0005515); NR=PREDICTED: nuclear pore complex protein Nup214-like [Elaeis guineensis]; Swissprot=Sperm-associated antigen 1A OS=Danio rerio GN=spag1a PE=2 SV=1; KEGG=hypothetical protein; K09553 stress-induced-phosphoprotein 1 (A); IPRSCAN=NULL NULL IPR019734 Tetratricopeptide repeat IPR019734 Tetratricopeptide repeat IPR019734 Tetratricopeptide repeat IPR013026 Tetratricopeptide repeat-containing domain NULL NULL NULL NULL,49.60334865379442,2.2005567272351705,1.2704920188362676
Asa3G04726.1,"[translated] | GO=Molecular Function: oxidoreductase activity (GO:0016491),Biological Process: oxidation-reduction process (GO:0055114); NR=PREDICTED: internal alternative NAD(P)H-ubiquinone oxidoreductase A2, mitochondrial-like [Elaeis guineensis]; Swissprot=Internal alternative NAD(P)H-ubiquinone oxidoreductase A2, mitochondrial OS=Arabidopsis thaliana GN=NDA2 PE=2 SV=1; KEGG=internal alternative NAD(P)H-ubiquinone oxidoreductase A2, mitochondrial-like; K17871 NADH:ubiquinone reductase (non-electrogenic) [EC:1.6.5.9] (A); IPRSCAN=NULL NULL NULL NULL IPR013027 FAD-dependent pyridine nucleotide-disulphide oxidoreductase IPR013027 FAD-dependent pyridine nucleotide-disulphide oxidoreductase IPR013027 FAD-dependent pyridine nucleotide-disulphide oxidoreductase IPR023753 Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain",49.5133583132076,4.620560449337246,2.667681819231797
Asa0G05863.1,"[translated] | GO=Molecular Function: Rab GTPase activator activity (GO:0005097),Biological Process: regulation of Rab GTPase activity (GO:0032313); NR=PREDICTED: TBC1 domain family member 15-like [Musa acuminata subsp. malaccensis]; Swissprot=TBC1 domain family member 15 OS=Mus musculus GN=Tbc1d15 PE=1 SV=1; KEGG=uncharacterized LOC100831005; K12840 splicing factor 45 (A); IPRSCAN=IPR000195 Rab-GTPase-TBC domain IPR000195 Rab-GTPase-TBC domain IPR000195 Rab-GTPase-TBC domain NULL NULL NULL NULL",48.88628116573664,5.701587209075656,3.2918129099679576
Asa5G06470.1,[translated],47.499063693828475,3.7536592888792146,2.167176200880554
Asa8G00633.1,"[translated] | GO=Molecular Function: structural constituent of ribosome (GO:0003735),Cellular Component: ribosome (GO:0005840),Biological Process: translation (GO:0006412),Cellular Component: large ribosomal subunit (GO:0015934); NR=ribosomal protein L22, partial (chloroplast) [Elodea canadensis]; Swissprot=50S ribosomal protein L22, chloroplastic OS=Acorus calamus GN=rpl22 PE=3 SV=1; KEGG=rpl22, ElguCp081; 50S ribosomal protein L22; K02890 large subunit ribosomal protein L22 (A); IPRSCAN=IPR005727 Ribosomal protein L22, bacterial/chloroplast-type IPR001063 Ribosomal protein L22/L17",46.4607262077904,3.5814607699500747,2.06775733962276
