Phylum,Genus,Species,Mean_Sham,Mean_HS2W,Mean_HS6W,Mean_HS10W,Trend
Bacillota_A_368345,Laedolimicola,Laedolimicola sp011959465,0.0008819107101549849,0.0031315058986814714,0.0015397293546148506,0.0013806962757344438,Fluctuating
Bacillota_A_368345,Luxibacter,unclassified,0.0012578070784177657,0.0,0.0,0.0,Fluctuating
Bacillota_A_368345,Otoolea_134526,unclassified,0.0012144344205412907,0.0003122831367106176,0.0007734790654637982,0.0014602128151746472,Fluctuating
Bacillota_A_368345,Petralouisia,Petralouisia sp000403315,0.0012288919731667824,0.006852879944482996,0.003036086051353227,0.0005349294471431876,Fluctuating
Bacillota_A_368345,Petralouisia,unclassified,0.0004481841313902383,0.025164816099930605,0.010727504048114733,0.00618060374739764,Fluctuating
Bacillota_A_368345,Roseburia_B,Roseburia_B sp009911505,0.000260235947258848,0.017817487855655796,0.007236005089058525,0.015599699282905393,Fluctuating
Bacillota_A_368345,Sporofaciens,Sporofaciens musculi,0.0012578070784177657,0.0016915336571825122,0.00097588480222068,0.0005638445523941707,Fluctuating
Bacillota_A_368345,Sporofaciens,unclassified,0.0008096229470275273,0.012699514226231784,0.006303492944714318,0.008226347443904694,Fluctuating
Bacillota_A_368345,Suilimivivens,Suilimivivens sp000403495,0.0,0.005794587092297016,0.00021686328938237337,0.0015758732361785797,Fluctuating
Bacillota_A_368345,Suilimivivens,Suilimivivens sp009917455,0.004134860050890586,0.0007373351839000694,0.0008891394864677307,0.00097588480222068,Fluctuating
Bacillota_A_368345,UBA3282,UBA3282 sp003611805,0.041319685403654875,0.001865024288688411,0.002573444367337497,0.0037372773536895674,Fluctuating
Bacillota_A_368345,Ventrisoma,Ventrisoma faecale,0.0013590099467962063,0.0008154059680777238,0.0007156488549618321,0.0005927596576451537,Fluctuating
Bacillota_A_368345,unclassified,unclassified,0.03508848022206801,0.026361901457321306,0.03187167476289614,0.026363347212583852,Fluctuating
Bacillota_A_368345,unclassified,unclassified,0.0029493407356002773,0.0,0.0,0.0,Fluctuating
Bacillota_A_368345,Acutalibacter,Acutalibacter muris,0.0012578070784177652,0.0006158917418459403,0.001395153828359935,0.0012794934073560027,Fluctuating
Bacillota_A_368345,Acutalibacter,Acutalibacter timonensis,0.0012433495257922738,0.0,0.0,0.0,Fluctuating
Bacillota_A_368345,Eubacterium_R,unclassified,0.004611959287531806,0.0,0.004344494563960213,0.0004843280129539671,Fluctuating
Bacillota_A_368345,UMGS1071,UMGS1071 sp900548305,0.006737219523479066,0.0,0.0,0.0,Decreasing
Bacillota_A_368345,Avispirillum,Avispirillum sp011957885,0.0,0.002133934767522554,0.0016264746703678003,0.0016553897756187831,Fluctuating
Bacillota_A_368345,Dysosmobacter,Dysosmobacter sp000403435,0.006144459865833912,0.005976752255378209,0.007611901457321306,0.010076914179967615,Fluctuating
Bacillota_A_368345,Dysosmobacter,unclassified,0.0027903076567198704,0.00402498265093685,0.0029999421697894982,0.004344494563960213,Fluctuating
Bacillota_A_368345,Enterenecus,Enterenecus sp004560375,0.005334836918806384,0.030091950034698122,0.01166001619245894,0.017385207032153596,Fluctuating
Bacillota_A_368345,Evtepia,unclassified,0.0075323849178811015,0.004614850798056905,0.005768563497571132,0.006354094378903539,Fluctuating
Bacillota_A_368345,Lawsonibacter,Lawsonibacter sp000177015,0.003036086051353227,0.027402845246356694,0.019105655794587093,0.01672738838769373,Fluctuating
Bacillota_A_368345,Lawsonibacter,Lawsonibacter sp000492175,0.0019083969465648854,0.006557945870922971,0.0053420656951191315,0.0083058639833449,Fluctuating
Bacillota_A_368345,Lawsonibacter,unclassified,0.0,0.0026977793199167246,0.0022770645385149202,0.00208911635438353,Fluctuating
Bacillota_A_368345,Limivicinus,Limivicinus sp002320035,0.00041926902613925515,0.0005464954892435809,0.0010554013416608835,0.0011782905389775618,Fluctuating
Bacillota_A_368345,unclassified,unclassified,0.010828706916493175,0.03950381679389313,0.0301439972241499,0.027353689567430024,Fluctuating
Bacillota_A_368345,Anaerotruncus,Anaerotruncus sp000403395,0.0038457089983807546,0.004016308119361554,0.004134860050890585,0.0029204256303492944,Fluctuating
Bacillota_A_368345,Angelakisella,Angelakisella massiliensis,0.001142146657413833,0.013454198473282442,0.014052741151977794,0.01309854267869535,Fluctuating
Bacillota_A_368345,Harryflintia,unclassified,0.0006505898681471201,0.0014659958362248438,0.00044095535507749256,0.00020963451306962757,Fluctuating
Bacillota_A_368345,Massiliimalia,unclassified,0.0,0.0022900763358778627,0.00010843164469118666,0.0,Fluctuating
Bacillota_A_368345,Massilioclostridium,unclassified,0.0,0.0013705759888965996,0.0010843164469118666,0.0009397409206569513,Fluctuating
Bacillota_A_368345,Merdimmobilis,unclassified,0.0004481841313902382,0.0013532269257460097,0.0011710617626648162,0.0007156488549618321,Fluctuating
Bacillota_A_368345,Paludihabitans,Paludihabitans psychrotolerans,0.0003036086051353227,0.0018043025676613461,0.0010409437890353923,0.0020168285912560723,Fluctuating
Bacillota_A_368345,UBA946,unclassified,0.001012028683784409,0.0,0.0,0.0,Fluctuating
Bacillota_A_368345,Emergencia,Emergencia timonensis,0.0013590099467962063,0.0010929909784871616,0.0005710733287069165,0.0002457783946333565,Fluctuating
Bacillota_A_368345,Romboutsia_B,Romboutsia_B ilealis,0.0,0.02867800138792505,0.015129828822576914,0.032298172565348136,Fluctuating
Bacillota_A_368345,CAG-269,CAG-269 sp000431335,0.008023941707147814,0.0,0.014125028915105252,0.0004264978024520009,Fluctuating
Bacillota_A_368345,CAG-269,unclassified,0.0021252602359472586,0.0,0.0,0.0,Fluctuating
Bacillota_A_368345,CAG-793,unclassified,0.0016047883414295628,0.0,0.0,0.0,Fluctuating
Bacillota_A_368345,UMGS1994,UMGS1994 sp900553945,0.029204256303492947,0.0,0.0,0.00018794818413139024,Fluctuating
Bacillota_A_368345,unclassified,unclassified,0.0076191302336340505,0.0,0.0001590330788804071,0.0,Fluctuating
Bacillota_B_370539,unclassified,unclassified,0.003498727735368957,0.0039382373351839,0.0038529377746934993,0.003021628498727735,Fluctuating
Bacillota_B_370539,Peptococcus,Peptococcus niger,0.000390353920888272,0.003946911866759195,0.0032529493407355997,0.004062572287763127,Fluctuating
Bacillota_I,Pelethenecus,unclassified,0.007937196391394865,0.0,0.002060201249132547,0.008125144575526254,Fluctuating
Bacillota_I,Dubosiella,Dubosiella sp000403415,0.00043372657876474674,0.0,0.0030794587092297016,0.004431239879713163,Fluctuating
Bacillota_I,Faecalibaculum,Faecalibaculum rodentium,7.228776312745779e-05,0.01897987508674532,0.005602301642377978,0.010149201943095073,Fluctuating
Bacillota_I,Lactobacillus,Lactobacillus johnsonii,0.003556557945870923,0.049705065926439966,0.008891394864677306,0.0018361091834374276,Fluctuating
Bacillota_I,Ligilactobacillus,unclassified,0.0016337034466805459,0.001214434420541291,0.0011927480916030535,0.0012505783021050196,Fluctuating
Bacillota_I,Limosilactobacillus,unclassified,0.00043372657876474663,0.009429215822345594,0.0008096229470275271,4.337265787647467e-05,Fluctuating
Bacillota_I,Turicibacter,unclassified,0.011262433495257922,0.0,0.0,0.0,Decreasing
Bacillota_I,unclassified,unclassified,0.00594205412907703,0.0,0.0,0.0,Decreasing
Bacteroidota,Bacteroides_H_857956,Bacteroides_H_857956 acidifaciens,0.1573993754337266,0.08676266481609993,0.10523652556095305,0.101029377746935,Fluctuating
Bacteroidota,Bacteroides_H_857956,Bacteroides_H_857956 thetaiotaomicron,0.002313208420078649,0.0024375433726578763,0.0019806847096923434,0.0009108258154059682,Fluctuating
Bacteroidota,Prevotella,unclassified,0.008226347443904694,0.0,0.0,0.0,Decreasing
Bacteroidota,CAG-873,CAG-873 sp011959565,0.01905505436039787,0.0012404580152671756,0.003383067314365024,0.03065724034235484,Fluctuating
Bacteroidota,Duncaniella,Duncaniella freteri,0.0021686328938237335,0.004250520471894519,0.006491441128845709,0.0075179273652556085,Increasing
Bacteroidota,Duncaniella,Duncaniella muricolitica,0.0813381910710155,0.0,0.0,9.397409206569512e-05,Fluctuating
Bacteroidota,Duncaniella,Duncaniella muris,0.002645732130464955,0.004354614850798057,0.004257749248207264,0.004207147814018043,Fluctuating
Bacteroidota,Duncaniella,unclassified,0.02358026833217673,0.0,0.0,0.0,Decreasing
Bacteroidota,JAGBWK01,unclassified,0.0014602128151746472,0.001960444136016655,0.0011855193152903079,0.002175861670136479,Fluctuating
Bacteroidota,Lepagella,Lepagella muris_A,0.019156257228776313,0.038705759888966,0.027223571593800604,0.04259195003469813,Fluctuating
Bacteroidota,Lepagella,Lepagella sp900547755,0.009787763127457785,0.02751561415683553,0.029630754105944943,0.053579690030071715,Increasing
Bacteroidota,Muribaculum,Muribaculum gordoncarteri,0.022047767753874625,0.001309854267869535,0.0060794008790192,0.001012028683784409,Fluctuating
Bacteroidota,Paramuribaculum,Paramuribaculum intestinale,0.010366065232477446,0.0559941013185288,0.058220564422854504,0.05819164931760351,Fluctuating
Bacteroidota,Paramuribaculum,Paramuribaculum sp001689565,0.03078012953967153,0.0,0.0,0.0,Decreasing
Bacteroidota,UBA3263,UBA3263 sp001689615,0.0,0.007885149201943095,0.0004264978024520009,0.009599814943326394,Fluctuating
Bacteroidota,UBA7173,UBA7173 sp002491305,0.06900589868147121,0.0002342123525329632,0.00020963451306962757,0.00018794818413139024,Decreasing
Bacteroidota,UBA7173,UBA7173 sp900540205,0.007966111496645847,0.052819222761970853,0.043235311126532505,0.061068702290076333,Fluctuating
Bacteroidota,unclassified,unclassified,0.09218135554013418,0.05122310895211659,0.13973947490168862,0.13676121906083738,Fluctuating
Bacteroidota,Alistipes_A_871400,Alistipes_A_871400 finegoldii,0.002703562340966921,0.004823039555863984,0.002652960906777701,0.0049155678926671295,Fluctuating
Bacteroidota,Parabacteroides_B_862066,Parabacteroides_B_862066 goldsteinii,0.0005927596576451539,0.03164469118667591,0.020471894517696043,0.015852706453851492,Fluctuating
Bacteroidota,unclassified,unclassified,0.0012578070784177654,0.0,0.0,0.0,Fluctuating
Bacteroidota,Spongiimonas,Spongiimonas flava,0.004525213971778857,0.0,0.0,0.0,Fluctuating
Bacteroidota,Spongiimonas,unclassified,0.003195119130233634,0.0,0.0,0.0,Fluctuating
Campylobacterota_A,Helicobacter_C,Helicobacter_C hepaticus,0.009715475364330326,0.01589174184594032,2.8915105250983114e-05,0.00014457552625491557,Fluctuating
Deferribacterota,Mucispirillum,Mucispirillum schaedleri,0.0008096229470275271,0.006080846634281749,0.006404695813092759,0.003708362248438584,Fluctuating
Desulfobacterota_G_459543,Desulfovibrio_446353,Desulfovibrio sp011039135,0.0008529956049040018,0.012916377515614159,0.01118291695581772,0.011797362942401112,Fluctuating
Patescibacteria,Nanosyncoccus,Nanosyncoccus sp003979185,0.020124913254684247,0.0,0.0,0.0,Decreasing
Pseudomonadota,Ruegeria_B_490092,unclassified,0.003079458709229701,0.0,0.0,0.0,Fluctuating
Pseudomonadota,Parasutterella_564865,Parasutterella excrementihominis,0.00390353920888272,0.0,0.0,0.0,Fluctuating
Pseudomonadota,Parasutterella_564865,unclassified,0.010091371732593106,0.0,0.0,0.0,Decreasing
Pseudomonadota,unclassified,unclassified,0.001142146657413833,0.0,0.0,0.0,Fluctuating
Pseudomonadota,Escherichia,unclassified,0.0,0.0007113115891741845,0.0014818991441128849,0.0004120402498265094,Fluctuating
Pseudomonadota,Photobacterium,Photobacterium damselae,0.0059998843395789965,0.0,0.0,0.0,Decreasing
Verrucomicrobiota,Akkermansia,Akkermansia muciniphila_D_776786,0.003036086051353227,0.004267869535045108,0.12099525792273884,0.0009903423548461715,Fluctuating
unclassified,unclassified,unclassified,0.0005493869997686791,0.0015700902151283829,0.00097588480222068,0.002125260235947259,Fluctuating
