Accession,Description,MW_kDa,NormPSM_1,NormPSM_2,NormPSM_3,Mean,SD,SEM,Functional_Category,Marker_Group,Global_Rank
A0A8J5KIP5,RNA helicase OS=Zingiber officinale OX=94328 GN=ZIOFF_057720 PE=3 SV=1,49.8,8.541920510588918,8.78051689860835,8.66679748822606,8.66307829914111,0.1193416665275256,0.0689019432952055,Other,RNA-binding / Cargo,253
A0A8J5HJ65,Polyadenylate-binding protein OS=Zingiber officinale OX=94328 GN=ZIOFF_020883 PE=3 SV=1,83.6,11.745140702059762,5.853677932405567,4.814887493458922,7.471235375974751,3.737575610775669,2.1578902849979125,Other,RNA-binding / Cargo,276
A0A8J5M874,Polyadenylate-binding protein OS=Zingiber officinale OX=94328 GN=ZIOFF_000968 PE=3 SV=1,88.0,10.677400638236149,6.829290921139828,4.814887493458922,7.440526350944965,2.978669443922612,1.7197356052756327,Other,RNA-binding / Cargo,277
A0A8J5LFR4,DNA/RNA-binding protein Alba-like domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_015839 PE=3 SV=1,38.9,8.541920510588918,6.829290921139828,6.740842490842491,7.370684640857078,1.0152836441681647,0.5861742852643141,Other,RNA-binding / Cargo,279
A0A8J5G7A1,RNA helicase OS=Zingiber officinale OX=94328 GN=ZIOFF_041200 PE=3 SV=1,68.3,5.3387003191180735,7.804903909874088,7.703819989534276,6.949141406175479,1.3955983881116356,0.8057491050568607,Other,RNA-binding / Cargo,287
A0A8J5KGM1,RNA helicase OS=Zingiber officinale OX=94328 GN=ZIOFF_050629 PE=3 SV=1,66.0,5.3387003191180735,7.804903909874088,6.740842490842491,6.628148906611551,1.2369579300483815,0.7141579938896755,Other,RNA-binding / Cargo,294
A0A8J5FLE4,Alba DNA/RNA-binding protein OS=Zingiber officinale OX=94328 GN=ZIOFF_050592 PE=4 SV=1,20.2,4.270960255294459,5.853677932405567,5.777864992150707,5.300834393283577,0.892702333116501,0.5154019323310188,Other,RNA-binding / Cargo,328
A0A8J5GDF9,DNA/RNA-binding protein Alba-like domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_041168 PE=4 SV=1,14.5,4.270960255294459,3.902451954937044,4.814887493458922,4.329433234563475,0.4590195747110067,0.2650150750227072,Other,RNA-binding / Cargo,359
A0A8J5HAP6,Polyadenylate-binding protein OS=Zingiber officinale OX=94328 GN=ZIOFF_019693 PE=3 SV=1,70.9,3.203220191470844,2.926838966202784,3.851909994767138,3.3273230508135883,0.4748581280183186,0.2741594680382581,Other,RNA-binding / Cargo,392
A0A8J5LJH0,DNA/RNA-binding protein Alba-like domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_021262 PE=3 SV=1,15.5,3.203220191470844,2.926838966202784,3.851909994767138,3.3273230508135883,0.4748581280183186,0.2741594680382581,Other,RNA-binding / Cargo,391
A0A8J5KQW5,RNA helicase OS=Zingiber officinale OX=94328 GN=ZIOFF_043906 PE=4 SV=1,143.9,3.203220191470844,1.951225977468522,1.925954997383569,2.3601337221076446,0.7302436249130092,0.421606353417534,Other,RNA-binding / Cargo,418
A0A8J5FJ89,RNA helicase OS=Zingiber officinale OX=94328 GN=ZIOFF_051780 PE=3 SV=1,50.9,2.135480127647229,2.926838966202784,1.925954997383569,2.3294246970778603,0.5278759814279774,0.3047693399761806,Other,RNA-binding / Cargo,422
A0A8J5LHG8,Cysteine protease OS=Zingiber officinale OX=94328 GN=ZIOFF_030161 PE=3 SV=1,41.7,25.625761531766752,33.17084161696488,26.00039246467818,28.26566520446994,4.252135206251805,2.4549714059601646,Other,Secondary Metabolism,80
Q5ILG7,Cysteine protease gp2a OS=Zingiber officinale OX=94328 GN=ZIOFF_026231 PE=2 SV=1,41.9,24.55802146794314,32.195228628230616,0.0,18.91775003205792,16.82238636486682,9.712409296167747,Other,Secondary Metabolism,133
A0A8J5LHB9,Serine protease EDA2 OS=Zingiber officinale OX=94328 GN=ZIOFF_022291 PE=3 SV=1,31.9,3.203220191470844,2.926838966202784,4.814887493458922,3.6483155503775166,1.019688295121952,0.5887173116781697,Other,Secondary Metabolism,380
A0A8J5FXT1,Subtilisin-like protease OS=Zingiber officinale OX=94328 GN=ZIOFF_044766 PE=3 SV=1,83.8,3.203220191470844,2.926838966202784,2.8889324960753533,3.0063305512496608,0.1715615718603697,0.0990511196961798,Other,Secondary Metabolism,402
A0A8J5LMN2,Serine protease EDA2 OS=Zingiber officinale OX=94328 GN=ZIOFF_022290 PE=3 SV=1,38.9,0.0,1.951225977468522,1.925954997383569,1.2923936582840303,1.1193170603489422,0.6462380061010023,Other,Secondary Metabolism,455
