Taxa,Rho,p-value
Petralouisia unclassified,-0.5138188524969948,0.0031103178626575036
Acetatifactor Acetatifactor sp011959105,-0.5086414783089834,0.003479735090052545
Ligilactobacillus unclassified,-0.5070669277334741,0.0035993216360863606
JAGBWK01 unclassified,-0.5062537928312558,0.0036624523006384435
CAG-273 unclassified,0.48460885247617813,0.0057310803877780574
Dwaynesavagella Dwaynesavagella sp000270205,0.4764216238220974,0.006739442699765705
RUG12438 RUG12438 sp902801685,0.4720693131836032,0.007334355884125209
CAG-269 CAG-269 sp000431335,0.47061238399296446,0.007543210774148356
Lawsonibacter Lawsonibacter sp000177015,-0.4700958359411661,0.007618461294845354
Paramuribaculum Paramuribaculum intestinale,-0.46787697552694046,0.007948991107597617
Lachnoclostridium_B Lachnoclostridium_B intestinigallinarum,-0.46779322108287297,0.007961701851405613
Metaruminococcus_A Metaruminococcus_A gallistercoris,-0.46608665321682735,0.00822447124042204
Escherichia unclassified,0.46070023441043934,0.009102546859054097
Lawsonibacter Lawsonibacter sp000492175,-0.4587998192869266,0.009430676856704536
Muribaculum Muribaculum gordoncarteri,0.44171966904827026,0.012854325848434262
Parabacteroides_B_862066 Parabacteroides_B_862066 goldsteinii,-0.4390317901420073,0.013477851146533238
Adlercreutzia_A_404199 Adlercreutzia_A_404199 muris,-0.43515970183269687,0.014420410509743135
Merdibacter unclassified,-0.42541734263801645,0.017037916593899912
Butyricicoccus_A_77030 Butyricicoccus_A_77030 pullicaecorum,0.4236890754319891,0.017541123652886896
CAG-273 CAG-273 sp003507395,0.41468671804747237,0.02036587394942908
Ructibacterium unclassified,-0.41173405958353404,0.0213703396451975
Borkfalkia unclassified,0.41015034009602186,0.021925714829374738
Adlercreutzia_A_404260 Adlercreutzia_A_404260 sp011039075,0.41004449758641653,0.021963251273494803
Alistipes_A_871400 Alistipes_A_871400 finegoldii,-0.40770628225222866,0.02280608167803289
TWA4 TWA4 sp000875945,0.40603463823369035,0.023424803786916106
Parasutterella_564865 Parasutterella excrementihominis,0.40603463823369035,0.023424803786916106
Ruminiclostridium_E Ruminiclostridium_E siraeum,0.4030866616734264,0.024549520277624384
UBA6985 UBA6985 sp900314465,0.40289012990274214,0.02462604931209144
Roseburia_B Roseburia_B sp003612565,0.40289012990274214,0.02462604931209144
Bacteroides_H_857956 unclassified,-0.39759482801484974,0.0267628495718512
CAG-314 unclassified,-0.39707515685483175,0.02698047416474039
Enterenecus unclassified,-0.38330096623702226,0.03329704368369273
Anaerotruncus Anaerotruncus sp000403395,-0.3811781396910372,0.03436921687461339
Butyribacter unclassified,0.37748554712369164,0.03630066591379796
UMGS1071 UMGS1071 sp900548305,0.3687139907295048,0.0412410700028454
Lactobacillus Lactobacillus johnsonii,-0.366727199354318,0.04243173980735351
Lactobacillus unclassified,-0.3664831883740028,0.04257985256717536
RUG11894 unclassified,-0.36309787112866,0.04467774687622024
Muribaculum Muribaculum intestinale,0.36196608912586054,0.045397244911083164
Faecousia Faecousia sp000434635,0.35375555296133326,0.05089781954579378
Suilimivivens Suilimivivens sp009917455,0.35358224736212696,0.051019373708838765
Lachnospira unclassified,0.3513314286479458,0.052619069596189505
Schaedlerella unclassified,0.35038444366506727,0.05330385980376027
Eubacterium_R unclassified,-0.34761154161067026,0.05534962123947941
Angelakisella Angelakisella massiliensis,-0.34715079753475514,0.055695466581723765
Granulimonas unclassified,-0.34682699553443785,0.0559395382691826
Anaerotruncus unclassified,0.34437161552778284,0.05781788570277749
Eubacterium_F Eubacterium_F sp003491505,-0.3391538359793706,0.06197413862301948
Brotaphodocola unclassified,0.3349626402430948,0.06547925264797942
Petralouisia Petralouisia sp000403845,-0.32211557215150943,0.07719355115344342
Paramuribaculum Paramuribaculum sp000431155,0.3063097547574419,0.0937509510956226
Acutalibacter unclassified,-0.3063097547574419,0.0937509510956226
Eubacterium_R Eubacterium_R sp000436835,0.3063097547574419,0.0937509510956226
Coprocola Coprocola sp000364165,0.29538725133844945,0.10668059568080003
Hominisplanchenecus_A Hominisplanchenecus_A murintestinalis,0.29184967946613277,0.1111425497038285
Sporofaciens Sporofaciens musculi,-0.28881981507717713,0.11507379873821642
Ruthenibacterium Ruthenibacterium lactatiformans,-0.28588910444027904,0.11897405079606611
WRAY01 WRAY01 sp009787685,0.28588910444027904,0.11897405079606611
Bifidobacterium_388775 Bifidobacterium globosum,0.2839523292500286,0.12160486166878456
Eubacterium_G_180878 unclassified,0.27555691219787937,0.1335084286914043
Anaerotruncus Anaerotruncus colihominis,-0.26942706865940297,0.14272392007739296
Anaerofustis unclassified,0.2654684541231163,0.14891581758498923
Desulfovibrio_446353 Desulfovibrio trichonymphae,-0.2654684541231163,0.14891581758498923
UBA9414 unclassified,-0.2580462149084392,0.1610446021764687
CAG-873 CAG-873 sp011959565,-0.25796694313450846,0.1611778421433147
Laedolimicola Laedolimicola sp011959465,-0.257364810330912,0.16219248171921077
G11 unclassified,0.25718884099271455,0.16248986349578357
Harryflintia unclassified,-0.25627664785101195,0.16403768220562845
Thomasclavelia unclassified,-0.25521439327101364,0.16585335137129736
Alitiscatomonas Alitiscatomonas aceti,0.2527398570999641,0.17013839988405974
Akkermansia Akkermansia muciniphila_D_776786,0.25090171892646906,0.17337188235929538
Enterenecus Enterenecus sp004560375,-0.2508320840990518,0.17349522651008978
Thomasclavelia Thomasclavelia saccharogumia,-0.24504780380595348,0.18395880247071372
Kineothrix unclassified,-0.24005721512397268,0.19333578790472006
Dubosiella Dubosiella sp000403415,-0.2378554985978981,0.19757654878987513
Alistipes_A_871400 unclassified,-0.23219081914761933,0.2087823943867801
Adlercreutzia_A_404199 unclassified,-0.231227652467205,0.2107302375009753
Otoolea_134526 unclassified,-0.2276686608487014,0.21803554537852352
Bacteroides_H_857956 Bacteroides_H_857956 acidifaciens,0.21823317628736366,0.23823083738566123
Velocimicrobium Velocimicrobium porci,-0.21549928696411655,0.24430856705228898
Alistipes_A_871404 Alistipes_A_871404 ihumii,-0.2114201368039286,0.2535671121056941
Hominilimicola Hominilimicola sp001941225,-0.20582800695708736,0.26663108735543056
Enteroscipio Enteroscipio sp000270285,0.20420650317162792,0.27049967152874066
Streptococcus Streptococcus danieliae,-0.20400171016438265,0.2709908451986167
Acutalibacter Acutalibacter sp009917445,-0.19702330612207883,0.28807372413042953
UBA7173 UBA7173 sp900540205,-0.18918920458183655,0.3080526877601888
Evtepia unclassified,-0.1854765591709514,0.3178167085222542
Butyribacter Butyribacter sp003612285,0.1837858528544651,0.3223260884596843
Bovifimicola unclassified,0.1837858528544651,0.3223260884596843
Acetatifactor Acetatifactor muris,-0.18122109863499505,0.3292417507297544
RUG13077 unclassified,0.180222539591593,0.33195872642031343
MD308 unclassified,0.1780331767811693,0.33796361342137365
COE1 unclassified,-0.17609683105627033,0.3433292238986193
Adlercreutzia_A_404257 Adlercreutzia_A_404257 caecimuris,-0.17445918689142415,0.3479071169597742
Ventrisoma unclassified,-0.1722277808751843,0.35420366349506244
Lactococcus_A_346120 unclassified,-0.16775204997598064,0.36703705224717137
UBA11490 UBA11490 sp003524095,0.16545930820258084,0.3737159943795663
Helicobacter_C Helicobacter_C hepaticus,0.15881344042094428,0.39347436826664467
Enterorhabdus unclassified,0.15315487737872094,0.41075977059289986
Choladousia Choladousia sp003612585,0.15315487737872094,0.41075977059289986
Latilactobacillus Latilactobacillus graminis,0.15315487737872094,0.41075977059289986
Mucispirillum Mucispirillum schaedleri,-0.1493696487940071,0.4225570014055766
UBA3263 UBA3263 sp001689615,-0.14745336025444858,0.4286003104937397
Acinetobacter Acinetobacter bereziniae,-0.14294455222013952,0.44300565914831924
Xiamenia Xiamenia xianingshaonis,-0.14294455222013952,0.44300565914831924
Limosilactobacillus unclassified,-0.13992135161117003,0.4528094269769645
Bacteroides_H_857956 Bacteroides_H_857956 caecimuris,-0.1350610792294109,0.4688107798854208
Brevundimonas Brevundimonas huaxiensis,-0.13178804530351818,0.4797510969954401
Petralouisia Petralouisia sp000403315,-0.12766172751794877,0.4937292158971689
COE1 COE1 sp000403215,0.12725543193075292,0.49511663507287473
Acinetobacter Acinetobacter radioresistens,-0.12252390190297674,0.5114179544063876
C-19 unclassified,-0.12168757029989496,0.5143266621865832
CAG-628 CAG-628 sp003524085,-0.12074058531701642,0.5176300209566265
Eubacterium_J unclassified,0.12074058531701642,0.5176300209566265
Acetitomaculum unclassified,0.11492724938598278,0.5381337842383944
Schaedlerella Schaedlerella arabinosiphila,-0.1139884150081517,0.5414808831774833
Eubacterium_J Eubacterium_J plexicaudatum,0.11040412150902629,0.5543492524081196
Dysosmobacter unclassified,0.10609117442435609,0.5700188609343351
Massilioclostridium Massilioclostridium methylpentosum,-0.10593062439881853,0.5706060030980828
Methyloceanibacter unclassified,-0.10210325158581396,0.584683036201997
Eubacterium_F Eubacterium_F sp000687695,-0.10082222277612264,0.5894285566962866
Dysosmobacter Dysosmobacter sp000403435,0.09713536610808912,0.603179277786183
Alistipes_A_871404 Alistipes_A_871404 indistinctus,0.09546178609056792,0.6094659067817553
Lactococcus_A_343483 unclassified,-0.09319174444616136,0.6180368422646876
Lawsonibacter unclassified,-0.0916246234602772,0.6239827330597494
Emergencia Emergencia timonensis,-0.08992247999931673,0.6304672975449659
Acutalibacter Acutalibacter muris,-0.082104667197171,0.6605917502164149
Pseudonocardia unclassified,0.08168260126865115,0.6622335614407936
Anaerotruncus Anaerotruncus sp003612625,-0.08104697298775017,0.6647090198969128
Suilimivivens unclassified,0.07995693996661629,0.6689622218510409
UBA644 UBA644 sp002299265,-0.07691767161768669,0.6808740450136587
Lepagella Lepagella muris_A,-0.06979324575655159,0.7090897040188302
Onthocola_B unclassified,-0.06126195095148837,0.743378318315338
Sphingomonas_L_486704 Sphingomonas_L_486704 koreensis,-0.06126195095148837,0.743378318315338
Adlercreutzia_A_404257 Adlercreutzia_A_404257 equolifaciens,0.05105162579290698,0.7850527606239268
Faecalibaculum unclassified,0.05105162579290698,0.7850527606239268
Lawsonibacter Lawsonibacter asaccharolyticus,0.04452977776217151,0.8119892414898403
Porcincola unclassified,0.042588996248558025,0.8200473976343877
Ruminococcus_C_59129 unclassified,-0.040841300634325575,0.8273193141562767
UBA5905 unclassified,-0.040841300634325575,0.8273193141562767
C-19 C-19 sp009917405,0.029372857258636278,0.875359799994827
Duncaniella Duncaniella muris,0.02622025223415645,0.8886499202628128
Limivicinus Limivicinus sp002320035,0.023970947471913133,0.8981504571862379
Massiliimalia unclassified,0.02275141183887672,0.9033073618095673
COE1 COE1 sp000403335,0.02082555954312862,0.9114587772700858
Bacteroides_H_857956 Bacteroides_H_857956 thetaiotaomicron,0.012908431869123176,0.9450530226013978
Ventrisoma Ventrisoma faecale,0.01110887256050284,0.9527039648480847
Merdimmobilis unclassified,-0.003631961259079903,0.9845292520188343
Pseudobutyricicoccus Pseudobutyricicoccus sp003477405,0.00020202035042822745,0.9991394206441295
