Accession,Description,MW_kDa,Area_1,Area_2,Area_3,PSM_1,PSM_2,PSM_3,NormPSM_1,NormPSM_2,NormPSM_3,AVERAGE_NormPSM,SD_NormPSM,Functional_Category,SEM_NormPSM
A0A8J5LRY7,40S ribosomal protein S4 OS=Zingiber officinale OX=94328 GN=ZIOFF_001315 PE=3 SV=1,29.8,13326265.9375,10687536.8125,8274233.3125,58.0,64.0,69.0,61.928923701769655,62.43923127899271,66.44544740973312,63.604534130165156,2.473498464192367,Protein Synthesis,1.428075004141589
A0A8J5LU07,"Alpha-1,4 glucan phosphorylase OS=Zingiber officinale OX=94328 GN=ZIOFF_013192 PE=3 SV=1",114.3,1865248.625,1874242.5625,1816409.96875,69.0,55.0,62.0,73.67406440382942,53.65871438038436,59.70460491889063,62.34579456770147,10.265742603971477,Other,5.9269292558343425
A0A8J5HFD9,Small ribosomal subunit protein uS7c OS=Zingiber officinale OX=94328 GN=ZIOFF_014860 PE=3 SV=1,21.9,37807677.625,40819361.9375,19124942.71875,53.0,64.0,70.0,56.59022338265159,62.43923127899271,67.4084249084249,62.14595985668973,5.415060217432097,Protein Synthesis,3.1263864742124547
A0A8J5EZR6,Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_062241 PE=3 SV=1,28.7,75964942.875,53543658.625,57081678.375,54.0,72.0,59.0,57.65796344647519,70.2441351888668,56.81567242281528,61.57259035271909,7.521577688631858,Other,4.342584903262287
A0A8J5FKU9,Small ribosomal subunit protein uS7c OS=Zingiber officinale OX=94328 GN=ZIOFF_055390 PE=3 SV=1,22.0,29702388.578125,26283300.125,20629498.1875,48.0,65.0,71.0,51.251523063533504,63.41484426772698,68.3714024071167,61.0125899127924,8.809125193460675,Protein Synthesis,5.085950801769635
A0A8J5LNN6,"Alpha-1,4 glucan phosphorylase OS=Zingiber officinale OX=94328 GN=ZIOFF_009243 PE=3 SV=1",114.6,1257354.328125,674906.9375,455947.65625,68.0,53.0,60.0,72.6063243400058,51.707488402915835,57.77864992150706,60.69748755480956,10.750816049423346,Other,6.206986540142718
A0A8J5H8B8,Small ribosomal subunit protein uS5 OS=Zingiber officinale OX=94328 GN=ZIOFF_026792 PE=3 SV=1,30.0,11400137.5,11286522.0,10596184.0,55.0,58.0,64.0,58.725703510298814,56.58555334658714,61.63055991627421,58.98060559105338,2.5321441754225167,Protein Synthesis,1.461934121307133
A0A8J5L9Q7,Small ribosomal subunit protein uS5 OS=Zingiber officinale OX=94328 GN=ZIOFF_028929 PE=3 SV=1,29.9,0.0,0.0,2016240.625,,57.0,64.0,0.0,55.60994035785288,61.63055991627421,58.62025013706354,4.25722091670408,Protein Synthesis,2.457907642258806
A0A8J5LHL8,Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_022768 PE=3 SV=1,37.0,27400232.875,16087475.078125,19650257.234375,49.0,65.0,54.0,52.319263127357125,63.41484426772698,52.00078492935636,55.91163077481349,6.499924355777516,Other,3.7527330765203537
A0A8J5HX36,Large ribosomal subunit protein uL4 C-terminal domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_009200 PE=3 SV=1,46.1,21544114.6484375,16368729.25,22314836.609375,58.0,52.0,53.0,61.928923701769655,50.73187541418157,51.03780743066457,54.56620218220527,6.3781384220374004,Protein Synthesis,3.682419934891988
A0A8J5LI97,Small ribosomal subunit protein uS7c OS=Zingiber officinale OX=94328 GN=ZIOFF_017415 PE=3 SV=1,25.7,2521291.6875,2562603.75,1715911.40625,44.0,54.0,63.0,46.98056280823905,52.6831013916501,60.667582417582416,53.443748872490524,6.875141081404737,Protein Synthesis,3.96936455406568
A0A8J5FU54,Small ribosomal subunit protein uS5 OS=Zingiber officinale OX=94328 GN=ZIOFF_051824 PE=3 SV=1,29.6,2164583.25,1598784.75,2395038.8125,47.0,52.0,60.0,50.18378299970989,50.73187541418157,57.77864992150706,52.898102778466175,4.2355526953732685,Protein Synthesis,2.4453974888406016
A0A8J5HLV1,Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_012581 PE=3 SV=1,70.9,0.0,1111314.8125,0.0,,54.0,,0.0,52.6831013916501,0.0,52.6831013916501,0.0,Other,0.0
A0A8J5KVB3,Ribosomal protein eL8/eL30/eS12/Gadd45 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_049542 PE=3 SV=1,43.1,14448301.125,13953992.125,13372519.0,52.0,52.0,52.0,55.522483318827966,50.73187541418157,50.074829931972786,52.10972955499411,2.9737339122464146,Protein Synthesis,1.7168860747337866
A0A8J5HR62,40S ribosomal protein S4 OS=Zingiber officinale OX=94328 GN=ZIOFF_005660 PE=3 SV=1,33.8,409571.4375,636086.625,833257.75,44.0,51.0,59.0,46.98056280823905,49.75626242544731,56.81567242281528,51.184165885500555,5.070653458984006,Protein Synthesis,2.927543139511723
A0A8J5C9G6,ATP synthase subunit beta OS=Zingiber officinale OX=94328 GN=ZIOFF_071402 PE=3 SV=1,59.6,13434830.671875,10867429.03125,13010738.625,53.0,48.0,48.0,56.59022338265159,46.82942345924454,46.22291993720565,49.88085559303392,5.818390991745968,Other,3.3592496053350285
A0A8J5KED6,60S ribosomal protein L6 OS=Zingiber officinale OX=94328 GN=ZIOFF_062271 PE=3 SV=1,26.0,132907118.265625,111011369.75,122317051.75,45.0,53.0,51.0,48.04830287206266,51.707488402915835,49.11185243328101,49.62254790275316,1.8822903825408674,Protein Synthesis,1.0867408590530134
A0A8J5KYW8,60S ribosomal protein L7a OS=Zingiber officinale OX=94328 GN=ZIOFF_041914 PE=3 SV=1,31.4,42457907.5625,32287519.15625,47799766.75,48.0,50.0,49.0,51.251523063533504,48.780649436713055,47.18589743589743,49.07268997871466,2.0484857077002636,Protein Synthesis,1.1826937747718482
A0A8J5FMM7,Ribosomal protein eL8/eL30/eS12/Gadd45 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_052749 PE=3 SV=1,32.0,19724876.125,15146782.265625,16373513.8125,50.0,50.0,46.0,53.38700319118074,48.780649436713055,44.29696493982208,48.82153918923863,4.545157074479064,Protein Synthesis,2.6241476604596197
A0A8J5LJH3,40S ribosomal protein S6 OS=Zingiber officinale OX=94328 GN=ZIOFF_024946 PE=3 SV=1,28.4,63883416.6875,149632212.59375,179554533.34375,43.0,46.0,57.0,45.912822744415436,44.87819748177601,54.88971742543171,48.56024588387439,5.505839613997212,Protein Synthesis,3.178797983256196
A0A8J5BS66,Small ribosomal subunit protein uS2 OS=Zingiber officinale OX=94328 GN=ZIOFF_076113 PE=3 SV=1,34.0,52716731.8125,46126525.625,49354020.0,48.0,47.0,50.0,51.251523063533504,45.853810470510275,48.14887493458922,48.41806948954434,2.7089065304165625,Protein Synthesis,1.5639879145455375
A0A8J5FEC7,Large ribosomal subunit protein eL20 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_053350 PE=3 SV=1,26.0,102285891.875,84395023.25,86886331.875,39.0,47.0,59.0,41.641862489120975,45.853810470510275,56.81567242281528,48.10378179414884,7.833128697644877,Protein Synthesis,4.522458962182253
A0A8J5FB53,Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_055901 PE=3 SV=1,70.9,0.0,27587.259765625,3645748.875,,50.0,46.0,0.0,48.780649436713055,44.29696493982208,46.53880718826757,3.1704437124526006,Other,1.8304565308350655
A0A8J5FF76,Large ribosomal subunit protein eL20 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_059449 PE=3 SV=1,27.2,37809727.875,30246870.9375,20406596.0,38.0,46.0,54.0,40.574122425297354,44.87819748177601,52.00078492935636,45.81770161214323,5.770975221195333,Protein Synthesis,3.331874097443786
A0A8J5GP14,Large ribosomal subunit protein eL20 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_033498 PE=3 SV=1,24.0,67999622.03125,59042731.71875,64596944.34375,34.0,45.0,56.0,36.3031621700029,43.90258449304175,53.92673992673993,44.710828863261526,8.839545659050177,Protein Synthesis,5.103514065766608
A0A8J5I603,60S ribosomal protein L18a OS=Zingiber officinale OX=94328 GN=ZIOFF_003039 PE=3 SV=1,21.4,19711154.0,15555642.0,19129604.0,36.0,43.0,54.0,38.438642297650134,41.95135851557323,52.00078492935636,44.13026191419325,7.038724543983358,Protein Synthesis,4.063809510220418
A0A8J5HU15,Arf-GAP domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_000778 PE=3 SV=1,123.0,0.0,0.0,1213394.453125,,,45.0,0.0,0.0,43.333987441130304,43.333987441130304,0.0,Other,0.0
A0A8J5EU96,ATP synthase subunit beta OS=Zingiber officinale OX=94328 GN=ZIOFF_069741 PE=3 SV=1,66.1,1605762.9375,1954808.3125,1647461.078125,44.0,41.0,43.0,46.98056280823905,40.00013253810471,41.40803244374673,42.79624259669683,3.6914695258957857,Other,2.1312709244812322
A0A8J5I6C8,Guanine nucleotide-binding protein subunit beta-like protein A OS=Zingiber officinale OX=94328 GN=ZIOFF_001980 PE=3 SV=1,35.3,10684498.5625,10702294.46875,13421137.0,36.0,44.0,48.0,38.438642297650134,42.92697150430749,46.22291993720565,42.529511246387756,3.9073297256425934,Other,2.255897868912378
A0A8J5H198,40S ribosomal protein S18 OS=Zingiber officinale OX=94328 GN=ZIOFF_025215 PE=3 SV=1,19.7,92012634.5,77285736.25,104967113.5,37.0,44.0,44.0,39.50638236147375,42.92697150430749,42.37100994243851,41.60145460273992,1.8355568873401835,Protein Synthesis,1.0597592630187267
A0A8J5L9W1,Small ribosomal subunit protein eS1 OS=Zingiber officinale OX=94328 GN=ZIOFF_029038 PE=3 SV=1,30.8,4498147.7421875,4130456.125,10136614.5625,40.0,44.0,40.0,42.70960255294459,42.92697150430749,38.51909994767138,41.38522466830782,2.4845151440344724,Protein Synthesis,1.4344354872140046
A0A8J5FJR1,Large ribosomal subunit protein eL14 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_054020 PE=3 SV=1,15.6,14124290.0,11221086.5,9973904.25,34.0,37.0,53.0,36.3031621700029,36.09768058316766,51.03780743066457,41.146216727945045,8.566984921384364,Protein Synthesis,4.946151050504728
A0A8J5C6E8,Small ribosomal subunit protein eS1 OS=Zingiber officinale OX=94328 GN=ZIOFF_067292 PE=3 SV=1,29.8,1013611.125,676707.5,793702.0625,40.0,43.0,40.0,42.70960255294459,41.95135851557323,38.51909994767138,41.060020338729736,2.2329220385683892,Protein Synthesis,1.2891781400469076
A0A8J5LBU8,Guanine nucleotide-binding protein subunit beta-like protein A OS=Zingiber officinale OX=94328 GN=ZIOFF_032850 PE=3 SV=1,39.4,93164609.0,69144734.609375,85942158.75,37.0,42.0,43.0,39.50638236147375,40.97574552683897,41.40803244374673,40.630053444019815,0.9968427764422492,Other,0.5755274453186665
A0A8J5F921,Small ribosomal subunit protein eS1 OS=Zingiber officinale OX=94328 GN=ZIOFF_059226 PE=3 SV=1,36.0,4910043.1875,5213831.1875,5265579.65625,40.0,41.0,40.0,42.70960255294459,40.00013253810471,38.51909994767138,40.40961167957356,2.1250489163014437,Protein Synthesis,1.226897563867761
A0A8J5KAR0,Large ribosomal subunit protein eL14 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_058239 PE=3 SV=1,15.6,16558175.5,14287938.0,12918277.5,33.0,37.0,51.0,35.235422106179286,36.09768058316766,49.11185243328101,40.14831837420932,7.774611214806054,Protein Synthesis,4.488673877712959
A0A8J5I4J9,Small ribosomal subunit protein uS2 OS=Zingiber officinale OX=94328 GN=ZIOFF_010631 PE=3 SV=1,35.4,14246058.0,7837427.5,10835532.0,41.0,39.0,39.0,43.7773426167682,38.04890656063618,37.556122448979586,39.79412387546132,3.45835693661008,Protein Synthesis,1.9966833083056392
A0A8J5IMI9,Large ribosomal subunit protein uL4 C-terminal domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_002978 PE=3 SV=1,45.2,5479461.609375,5117629.703125,4206940.46875,42.0,41.0,34.0,44.84508268059182,40.00013253810471,32.74123495552067,39.19548339140573,6.091910835270846,Protein Synthesis,3.517166360622821
A0A8J5I0B8,Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_012726 PE=3 SV=1,74.3,2370523.71875,1653616.78125,2201899.375,38.0,39.0,39.0,40.574122425297354,38.04890656063618,37.556122448979586,38.7263838116377,1.619046797804791,Other,0.9347571045431978
A0A8J5GS42,"30S ribosomal protein S4, chloroplastic OS=Zingiber officinale OX=94328 GN=ZIOFF_030989 PE=3 SV=1",22.8,9464722.5,4327706.15625,61737393.0195313,39.0,37.0,37.0,41.641862489120975,36.09768058316766,35.63016745159602,37.78990350796155,3.3440743302817046,Protein Synthesis,1.9307022147782598
