Accession,Description,MW_kDa,Area_1,Area_2,Area_3,PSM_1,PSM_2,PSM_3,NormPSM_1,NormPSM_2,NormPSM_3,AVERAGE_NormPSM,SD_NormPSM,Functional_Category,SEM_NormPSM
A0A8J5LJH3,40S ribosomal protein S6 OS=Zingiber officinale OX=94328 GN=ZIOFF_024946 PE=3 SV=1,28.4,63883416.6875,149632212.59375,179554533.34375,43.0,46.0,57.0,45.912822744415436,44.87819748177601,54.88971742543171,48.56024588387439,5.505839613997212,Protein Synthesis,3.178797983256196
A0A8J5LJH0,DNA/RNA-binding protein Alba-like domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_021262 PE=3 SV=1,15.5,165820.65625,151289.078125,297973.453125,3.0,3.0,4.0,3.203220191470844,2.9268389662027836,3.851909994767138,3.3273230508135883,0.47485812801832056,Other,0.27415946803825914
A0A8J5LIM4,60S ribosomal protein L13 OS=Zingiber officinale OX=94328 GN=ZIOFF_020293 PE=3 SV=1,23.8,2619298.5,2249855.0,2175048.3125,27.0,22.0,20.0,28.828981723237597,21.463485752153744,19.25954997383569,23.184005816409012,5.011351910437327,Protein Synthesis,2.893305374494936
A0A8J5LI97,Small ribosomal subunit protein uS7c OS=Zingiber officinale OX=94328 GN=ZIOFF_017415 PE=3 SV=1,25.7,2521291.6875,2562603.75,1715911.40625,44.0,54.0,63.0,46.98056280823905,52.6831013916501,60.667582417582416,53.443748872490524,6.875141081404737,Protein Synthesis,3.96936455406568
A0A8J5LHW7,Guanosine nucleotide diphosphate dissociation inhibitor OS=Zingiber officinale OX=94328 GN=ZIOFF_026332 PE=3 SV=1,47.6,1690028.1875,1769808.859375,2151783.28125,9.0,13.0,13.0,9.609660574412533,12.682968853545393,12.518707482993197,11.603778970317043,1.7289090728339227,Other,0.9981861186050516
A0A8J5LHL8,Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_022768 PE=3 SV=1,37.0,27400232.875,16087475.078125,19650257.234375,49.0,65.0,54.0,52.319263127357125,63.41484426772698,52.00078492935636,55.91163077481349,6.499924355777516,Other,3.7527330765203537
A0A8J5LHG8,Cysteine protease OS=Zingiber officinale OX=94328 GN=ZIOFF_030161 PE=3 SV=1,41.7,3391659.75,4463954.0,286314877.390625,24.0,34.0,27.0,25.625761531766752,33.17084161696488,26.00039246467818,28.26566520446994,4.252135206251776,Other,2.4549714059601477
A0A8J5LHB9,Serine protease EDA2 OS=Zingiber officinale OX=94328 GN=ZIOFF_022291 PE=3 SV=1,31.9,710493.59375,578421.96875,988444.671875,3.0,3.0,5.0,3.203220191470844,2.9268389662027836,4.814887493458922,3.6483155503775166,1.0196882951219504,Other,0.5887173116781687
A0A8J5LGJ4,"Short-chain dehydrogenase TIC 32, chloroplastic OS=Zingiber officinale OX=94328 GN=ZIOFF_021565 PE=4 SV=1",74.5,772618.375,703379.5625,1089562.75,9.0,9.0,6.0,9.609660574412533,8.78051689860835,5.777864992150707,8.056014155057197,2.0160214570088684,Other,1.1639505308961318
A0A8J5LFR4,DNA/RNA-binding protein Alba-like domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_015839 PE=3 SV=1,38.9,1350924.65625,1094711.0625,1299996.0625,8.0,7.0,7.0,8.541920510588918,6.829290921139828,6.740842490842491,7.370684640857078,1.0152836441681705,Other,0.5861742852643175
A0A8J5LFA9,Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_028734 PE=4 SV=1,21.0,172701.671875,225555.53125,203470.09375,8.0,7.0,8.0,8.541920510588918,6.829290921139828,7.703819989534276,7.691677140421007,0.856379363513963,Other,0.49443085605322695
A0A8J5LF05,Ribosomal protein L10e/L16 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_026711 PE=3 SV=1,25.3,6608645.25,6407209.75,5041058.25,29.0,24.0,24.0,30.964461850884827,23.41471172962227,23.111459968602826,25.830211183036642,4.448976044874233,Protein Synthesis,2.5686175171263352
A0A8J5LED1,40S ribosomal protein S18 OS=Zingiber officinale OX=94328 GN=ZIOFF_029331 PE=3 SV=1,21.4,3781806.9375,1986386.25,3013194.34375,33.0,38.0,39.0,35.235422106179286,37.07329357190192,37.556122448979586,36.62161270902026,1.2245097883187772,Protein Synthesis,0.7069710559111777
A0A8J5LDX9,HSF-type DNA-binding domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_025005 PE=3 SV=1,122.8,1409600.0,1091184.015625,1151362.203125,17.0,17.0,19.0,18.15158108500145,16.58542080848244,18.296572475143904,17.677858122875932,0.948851985408319,Other,0.5478199491966039
A0A8J5LDQ6,Coatomer subunit beta' OS=Zingiber officinale OX=94328 GN=ZIOFF_024803 PE=3 SV=1,93.1,0.0,937294.8125,796552.3125,19.0,15.0,17.0,20.287061212648677,14.634194831013914,16.370617477760334,17.097291173807644,2.8956459689591423,Other,1.6718019796564156
A0A8J5LDP7,Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_024769 PE=4 SV=1,21.1,120208.6796875,116737.8828125,151117.765625,7.0,8.0,8.0,7.4741804467653035,7.804903909874088,7.703819989534276,7.660968115391223,0.16947481996109637,Other,0.09784633292540236
A0A8J5LDC9,fructokinase OS=Zingiber officinale OX=94328 GN=ZIOFF_014019 PE=3 SV=1,38.3,0.0,526568.2578125,0.0,,4.0,,0.0,3.902451954937044,0.0,3.902451954937044,0.0,Other,0.0
A0A8J5LD53,RRM domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_023918 PE=3 SV=1,67.2,7095069.5234375,7660007.203125,10454592.359375,12.0,13.0,16.0,12.812880765883376,12.682968853545393,15.407639979068552,13.634496532832438,1.5369604864600077,Other,0.8873645505915037
A0A8J5LCL3,Eukaryotic translation initiation factor 3 subunit D OS=Zingiber officinale OX=94328 GN=ZIOFF_033494 PE=3 SV=1,66.6,1108047.84375,641012.8828125,645081.515625,5.0,7.0,4.0,5.3387003191180735,6.829290921139828,3.851909994767138,5.3399670783416795,1.4886908674036972,Protein Synthesis,0.8594960730356621
A0A8J5LBV4,Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_033063 PE=3 SV=1,60.3,6643765.71875,166508.875,0.0,17.0,18.0,,18.15158108500145,17.5610337972167,0.0,17.856307441109074,0.4175799918039189,Antioxidant,0.2410899206761943
A0A8J5LBU8,Guanine nucleotide-binding protein subunit beta-like protein A OS=Zingiber officinale OX=94328 GN=ZIOFF_032850 PE=3 SV=1,39.4,93164609.0,69144734.609375,85942158.75,37.0,42.0,43.0,39.50638236147375,40.97574552683897,41.40803244374673,40.630053444019815,0.9968427764422492,Other,0.5755274453186665
A0A8J5LBF0,Large ribosomal subunit protein uL10-like insertion domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_030436 PE=3 SV=1,34.1,35231985.609375,31478623.234375,38574881.71875,24.0,25.0,25.0,25.625761531766752,24.390324718356528,24.07443746729461,24.6968412391393,0.8198267325399746,Protein Synthesis,0.4733271847208057
A0A8J5LB65,"6-phosphogluconate dehydrogenase, decarboxylating OS=Zingiber officinale OX=94328 GN=ZIOFF_018717 PE=3 SV=1",64.2,848972.8125,533265.453125,566236.75,3.0,4.0,4.0,3.203220191470844,3.902451954937044,3.851909994767138,3.652527380391676,0.38993119257942016,Other,0.22512687900116005
A0A8J5LB47,"Short-chain dehydrogenase TIC 32, chloroplastic OS=Zingiber officinale OX=94328 GN=ZIOFF_018655 PE=3 SV=1",40.1,2218481.1640625,2874762.359375,2011628.6875,10.0,11.0,10.0,10.677400638236147,10.731742876076872,9.629774986917845,10.346306167076955,0.6211287860086181,Other,0.35860887180350115
A0A8J5LB35,60S ribosomal protein L13 OS=Zingiber officinale OX=94328 GN=ZIOFF_026309 PE=3 SV=1,23.8,2186268.875,4434091.375,1302439.46875,27.0,25.0,20.0,28.828981723237597,24.390324718356528,19.25954997383569,24.15961880514327,4.78888556090129,Protein Synthesis,2.7648643677046723
A0A8J5LAV0,Ribosomal protein L35A OS=Zingiber officinale OX=94328 GN=ZIOFF_031514 PE=3 SV=1,28.7,27801904.9375,16319160.28125,20953288.75,26.0,36.0,39.0,27.761241659413983,35.1220675944334,37.556122448979586,33.479810567608986,5.099772399535733,Protein Synthesis,2.9443549676777794
A0A8J5LAS6,Ribosomal protein L10e/L16 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_029674 PE=3 SV=1,25.2,3950223.375,3416120.3125,3133608.75,29.0,24.0,24.0,30.964461850884827,23.41471172962227,23.111459968602826,25.830211183036642,4.448976044874233,Protein Synthesis,2.5686175171263352
A0A8J5LAM0,RRM domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_032280 PE=3 SV=1,45.0,0.0,376349.6875,0.0,,2.0,,0.0,1.951225977468522,0.0,1.951225977468522,0.0,Other,0.0
A0A8J5LA22,Isocitrate dehydrogenase [NADP] OS=Zingiber officinale OX=94328 GN=ZIOFF_031515 PE=3 SV=1,56.9,0.0,107874.734375,624415.3125,,2.0,4.0,0.0,1.951225977468522,3.851909994767138,2.90156798611783,1.3439865575247414,Other,0.7759510007741479
A0A8J5L9X1,RRM domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_029053 PE=4 SV=1,11.0,5688425.1875,5197683.71875,4862402.875,4.0,4.0,4.0,4.270960255294459,3.902451954937044,3.851909994767138,4.008440734999547,0.2287487624804932,Other,0.13206815959490653
A0A8J5L9W1,Small ribosomal subunit protein eS1 OS=Zingiber officinale OX=94328 GN=ZIOFF_029038 PE=3 SV=1,30.8,4498147.7421875,4130456.125,10136614.5625,40.0,44.0,40.0,42.70960255294459,42.92697150430749,38.51909994767138,41.38522466830782,2.4845151440344724,Protein Synthesis,1.4344354872140046
A0A8J5L9Q7,Small ribosomal subunit protein uS5 OS=Zingiber officinale OX=94328 GN=ZIOFF_028929 PE=3 SV=1,29.9,0.0,0.0,2016240.625,,57.0,64.0,0.0,55.60994035785288,61.63055991627421,58.62025013706354,4.25722091670408,Protein Synthesis,2.457907642258806
A0A8J5L990,Small ribosomal subunit protein eS21 OS=Zingiber officinale OX=94328 GN=ZIOFF_018999 PE=3 SV=1,9.2,13837133.75,10921664.6875,14512733.875,3.0,5.0,5.0,3.203220191470844,4.878064943671306,4.814887493458922,4.298724209533691,0.9492600474831551,Protein Synthesis,0.5480555439453565
A0A8J5L947,Large ribosomal subunit protein uL6 alpha-beta domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_033734 PE=3 SV=1,21.3,215741.46875,342500.4375,0.0,17.0,17.0,,18.15158108500145,16.58542080848244,0.0,17.368500946741946,1.1074425519515905,Protein Synthesis,0.6393822554812969
A0A8J5L911,Elongation factor 1-alpha OS=Zingiber officinale OX=94328 GN=ZIOFF_022091 PE=3 SV=1,49.3,0.0,3808396.9375,2773007.875,,20.0,19.0,0.0,19.512259774685223,18.296572475143904,18.90441612491456,0.8596207333080282,Protein Synthesis,0.49630226177637365
A0A8J5L901,phosphoenolpyruvate carboxylase OS=Zingiber officinale OX=94328 GN=ZIOFF_037062 PE=3 SV=1,110.4,3316819.0703125,359562.5,3603621.6875,7.0,5.0,8.0,7.4741804467653035,4.878064943671306,7.703819989534276,6.685355126656962,1.5693651372571111,Other,0.9060733844522072
A0A8J5L8D7,60S ribosomal protein L23 OS=Zingiber officinale OX=94328 GN=ZIOFF_021215 PE=3 SV=1,18.3,28992773.625,26582158.4375,25924401.625,21.0,22.0,22.0,22.42254134029591,21.463485752153744,21.185504971219256,21.69051068788964,0.649014626714224,Protein Synthesis,0.37470876944146175
A0A8J5L8B8,TCTP domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_034353 PE=3 SV=1,18.9,719124.84375,604997.890625,515373.734375,3.0,3.0,2.0,3.203220191470844,2.9268389662027836,1.925954997383569,2.6853380516857324,0.6720071523362907,Other,0.3879835102987113
A0A8J5L7C2,glutaredoxin-dependent peroxiredoxin OS=Zingiber officinale OX=94328 GN=ZIOFF_026269 PE=3 SV=1,53.7,14759251.78125,13004895.75,11133256.828125,17.0,20.0,18.0,18.15158108500145,19.512259774685223,17.33359497645212,18.332478612046263,1.1005398730774,Other,0.6353969919751535
A0A8J5L5S6,40S ribosomal protein S7 OS=Zingiber officinale OX=94328 GN=ZIOFF_031879 PE=3 SV=1,27.5,0.0,0.0,286610.21875,11.0,17.0,10.0,11.745140702059762,16.58542080848244,9.629774986917845,12.65344549915335,3.565671802350805,Protein Synthesis,2.0586415749290956
A0A8J5L4N4,Bulb-type lectin domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_030126 PE=4 SV=1,15.5,14526290.875,17804880.0625,15313415.125,17.0,18.0,16.0,18.15158108500145,17.5610337972167,15.407639979068552,17.040084953762232,1.4442451216221828,Other,0.833835309744371
A0A8J5L3P8,60S ribosomal protein L32-1 OS=Zingiber officinale OX=94328 GN=ZIOFF_028653 PE=3 SV=1,19.8,965930.3125,712529.0625,975665.3125,26.0,22.0,28.0,27.761241659413983,21.463485752153744,26.963369963369964,25.39603245831256,3.4289710567351905,Protein Synthesis,1.979717362649498
A0A8J5L379,Peroxidase 1 OS=Zingiber officinale OX=94328 GN=ZIOFF_027988 PE=3 SV=1,34.5,289734.875,289555.875,464128.234375,2.0,3.0,5.0,2.1354801276472295,2.9268389662027836,4.814887493458922,3.292402195769645,1.3766020899664524,Antioxidant,0.7947815872091327
A0A8J5L2P8,"Short-chain dehydrogenase TIC 32, chloroplastic OS=Zingiber officinale OX=94328 GN=ZIOFF_036671 PE=3 SV=1",35.5,328249.625,694559.34375,217225.71875,6.0,7.0,3.0,6.406440382941688,6.829290921139828,2.8889324960753533,5.374887933385622,2.16325714413081,Other,1.2489570944903043
A0A8J5L2I1,Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_036625 PE=3 SV=1,60.4,0.0,101951.515625,0.0,,17.0,,0.0,16.58542080848244,0.0,16.58542080848244,0.0,Antioxidant,0.0
A0A8J5L264,60S ribosomal protein L10a OS=Zingiber officinale OX=94328 GN=ZIOFF_034019 PE=3 SV=1,29.0,24858789.25,20061673.875,24612949.125,15.0,20.0,26.0,16.01610095735422,19.512259774685223,25.037414965986393,20.188591899341947,4.548526735957228,Protein Synthesis,2.6260931354211157
A0A8J5L255,Oryzain alpha chain OS=Zingiber officinale OX=94328 GN=ZIOFF_034710 PE=3 SV=1,51.4,2209674.25,1540054.375,1497178.5,15.0,17.0,18.0,16.01610095735422,16.58542080848244,17.33359497645212,16.645038914096258,0.6607672521224247,Other,0.3814941508845712
A0A8J5L1Z2,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Zingiber officinale OX=94328 GN=ZIOFF_046148 PE=3 SV=1",68.8,0.0,328494.1875,0.0,,4.0,,0.0,3.902451954937044,0.0,3.902451954937044,0.0,Other,0.0
A0A8J5L1V2,Translation elongation factor IF5A C-terminal domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_033529 PE=3 SV=1,45.3,3671614.5,2192076.9375,1951672.625,13.0,8.0,8.0,13.880620829706992,7.804903909874088,7.703819989534276,9.796448243038453,3.5373583050079764,Protein Synthesis,2.0422947696165137
A0A8J5L1H1,Aminopeptidase OS=Zingiber officinale OX=94328 GN=ZIOFF_041146 PE=3 SV=1,94.2,0.0,0.0,0.0,,2.0,,0.0,1.951225977468522,0.0,1.951225977468522,0.0,Other,0.0
A0A8J5L138,14-3-3 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_032277 PE=3 SV=1,29.0,632712.6875,754729.375,2290013.3125,6.0,3.0,8.0,6.406440382941688,2.9268389662027836,7.703819989534276,5.679033112892917,2.470167590813857,Other,1.4261519234998696
A0A8J5L0Z8,glycerophosphodiester phosphodiesterase OS=Zingiber officinale OX=94328 GN=ZIOFF_040410 PE=3 SV=1,58.3,0.0,0.0,0.0,,3.0,6.0,0.0,2.9268389662027836,5.777864992150707,4.3523519791767455,2.0159798362871078,Lipid Metabolism,1.1639265011612194
A0A8J5L0T7,Large ribosomal subunit protein uL15/eL18 domain-containing protein OS=Zingiber officinale OX=94328 GN=ZIOFF_045106 PE=3 SV=1,16.4,263879.9140625,23362023.109375,919232.25,9.0,14.0,18.0,9.609660574412533,13.658581842279656,17.33359497645212,13.53394579771477,3.863475283919419,Protein Synthesis,2.2305784951783423
